typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
2.0000,0,15,15,33,0
2.0000,0,12,12,21,0
1.7143,0,10,10,25,0
0.8571,0,7,7,93,0
1.8571,0,9,9,45,0
1.7143,0,22,22,80,0
1.8571,2,14,16,65,0
2.1429,0,16,16,47,0
1.7143,0,14,14,45,0
2.0000,0,14,14,55,0
1.5714,0,15,15,78,0
2.8571,0,19,19,109,0
2.5714,1,13,14,87,0
2.7143,0,18,18,68,0
2.4286,0,18,18,78,0
2.2857,0,19,19,93,0
2.5714,0,21,21,63,0
2.2857,0,23,23,37,0
2.0000,0,18,18,18,0
1.8571,0,16,16,32,0
2.0000,0,14,14,8,0
2.0000,0,15,15,22,0
2.2857,0,26,26,88,0
2.4286,0,24,24,25,0
2.2857,0,19,19,20,0
2.2857,0,17,17,28,0
2.0000,0,17,17,13,0
1.8571,0,17,17,67,0
2.0000,0,28,28,99,0
2.4286,0,22,22,65,0
2.5714,0,18,18,24,0
2.5714,0,15,15,37,0
2.4286,0,17,17,28,0
1.4286,0,27,27,115,0
1.7143,0,27,27,103,0
1.8571,0,28,28,22,0
2.1429,0,17,17,1,0
1.8571,0,11,11,14,0
1.7143,0,14,14,11,0
2.2857,0,28,28,117,0
2.1429,0,26,26,79,0
2.1429,0,23,23,34,0
1.5714,0,14,14,10,0
2.0000,0,13,13,18,0
1.8571,0,21,21,53,0
1.7143,0,35,35,130,0
1.4286,0,31,31,81,0
1.8571,0,30,30,47,0
2.0000,0,12,12,23,0
2.0000,0,13,13,18,0
2.1429,1,21,22,75,0
2.2857,0,29,29,130,0
1.8571,4,23,27,69,0
2.2857,4,25,29,17,0
2.0000,0,19,19,22,0
2.1429,0,15,15,27,0
1.7143,0,27,27,65,0
1.5714,0,21,21,78,0
1.7143,1,22,23,45,0
1.7143,0,31,31,28,0
1.2857,0,19,19,5,0
1.8571,0,15,15,20,0
1.8571,0,33,33,60,0
2.1429,0,29,29,73,0
1.8571,0,29,29,98,0
2.1429,0,29,29,64,0
2.1429,0,21,21,27,0
2.2857,0,24,24,45,0
2.0000,0,32,32,132,0
2.0000,0,31,31,106,0
1.5714,0,32,32,64,0
2.0000,1,24,25,30,0
1.7143,0,21,21,37,0
2.0000,0,28,28,90,0
1.8571,2,26,28,127,0
2.0000,0,31,31,137,0
1.5714,5,26,31,69,0
1.8571,0,29,29,32,0
1.7143,0,17,17,17,0
1.8571,0,32,32,121,0
2.1429,3,25,28,121,0
2.1429,8,21,29,84,0
2.0000,0,31,31,93,0
2.2857,6,21,27,101,0
-10.0000,0,22,22,69,0
2.0000,9,25,34,110,0
2.0000,1,19,20,90,0
2.0000,0,31,31,118,0
2.2857,0,27,27,154,0
2.1429,4,18,22,125,0
1.8571,0,27,27,104,0
2.0000,0,32,32,128,0
2.1429,4,23,27,121,0
2.0000,0,29,29,122,0
1.2857,0,27,27,145,0
1.8571,4,25,29,106,0
1.7143,0,21,21,115,0
2.0000,0,36,36,160,0
2.0000,2,28,30,106,0
1.4286,3,23,26,106,0
1.5714,0,26,26,147,0
2.1429,0,32,32,114,0
1.8571,0,14,14,138,0
1.8571,8,22,30,172,0
1.8571,0,35,35,140,0
2.1429,0,28,28,120,0
1.2857,0,23,23,131,0
2.0000,0,26,26,141,0
2.2857,1,12,13,127,0
2.2857,0,28,28,112,0
2.2857,0,32,32,70,0
2.2857,0,30,30,98,0
1.8571,3,25,28,103,0
3.0000,0,13,13,139,1
2.4286,0,21,21,114,1
3.1429,0,20,20,131,1
2.4286,0,19,19,128,1
2.1429,1,17,18,93,1
3.7143,0,13,13,154,1
3.2857,0,16,16,150,1
3.0000,0,28,28,156,1
3.5714,0,22,22,148,1
3.1429,0,21,21,118,1
3.2857,0,23,23,156,1
3.2857,0,17,17,145,1
2.8571,0,14,14,129,1
3.1429,0,24,24,143,1
3.0000,0,19,19,124,1
2.7143,0,21,21,91,1
3.0000,0,18,18,42,1
3.4286,0,13,13,97,1
3.2857,0,15,15,90,1
3.2857,0,25,25,131,1
3.5714,1,24,25,108,1
3.4286,0,23,23,88,1
3.5714,0,15,15,33,1
3.8571,2,14,16,122,1
3.7143,0,17,17,122,1
3.7143,0,26,26,135,1
4.0000,0,28,28,117,1
4.1429,0,23,23,91,1
4.0000,0,11,11,15,1
4.7143,0,14,14,110,1
4.4286,1,14,15,145,1
4.1429,0,28,28,151,1
4.5714,0,32,32,133,1
4.0000,0,24,24,87,1
4.5714,0,12,12,12,1
4.4286,0,14,14,114,1
3.8571,0,17,17,141,1
4.4286,0,33,33,144,1
4.7143,0,29,29,120,1
4.0000,0,18,18,27,1
4.5714,0,13,13,10,1
4.8571,0,15,15,115,1
4.4286,0,16,16,152,1
4.2857,0,33,33,142,1
4.8571,0,32,32,118,1
4.2857,0,14,14,12,1
4.4286,0,12,12,10,1
4.4286,0,15,15,93,1
4.2857,0,16,16,162,1
