typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
2.1000,0,20,20,46,0
1.4000,0,13,13,86,0
1.4000,0,11,11,53,0
1.8000,0,28,28,113,0
2.1000,2,21,23,88,0
1.8000,0,20,20,62,0
1.9000,0,18,18,77,0
2.4000,0,28,28,154,0
2.5000,1,20,21,114,0
2.6000,0,27,27,117,0
2.4000,0,26,26,122,0
2.4000,0,31,31,68,0
2.1000,0,28,28,34,0
2.0000,0,23,23,38,0
1.9000,0,19,19,6,0
2.3000,0,35,35,111,0
2.4000,0,33,33,31,0
2.2000,0,23,23,39,0
2.0000,0,23,23,24,0
1.9000,0,37,37,153,0
2.5000,0,34,34,79,0
2.6000,0,18,18,40,0
2.0000,0,25,25,44,0
1.7000,0,42,42,172,0
1.9000,0,39,39,59,0
2.0000,0,19,19,6,0
1.8000,0,19,19,20,0
2.2000,0,38,38,150,0
2.2000,0,35,35,79,0
1.8000,0,23,23,13,0
1.8000,0,20,20,30,0
1.7000,0,49,49,183,0
1.7000,0,42,42,99,0
1.9000,0,26,26,38,0
2.0000,1,16,17,23,0
2.3000,0,42,42,173,0
2.0000,8,32,40,104,0
2.2000,0,35,35,25,0
2.0000,0,22,22,42,0
1.6000,0,35,35,105,0
1.7000,1,33,34,74,0
1.4000,0,43,43,29,0
1.8000,0,17,17,11,0
2.0000,0,47,47,101,0
1.9000,0,41,41,94,0
2.2000,0,41,41,115,0
2.1000,0,25,25,38,0
2.1000,0,48,48,164,0
2.0000,0,44,44,132,0
1.7000,1,39,40,66,0
1.9000,0,30,30,52,0
1.9000,2,42,44,159,0
1.9000,0,42,42,192,0
1.6000,5,37,42,85,0
1.8000,0,31,31,23,0
2.0000,0,44,44,170,0
2.0000,11,30,41,141,0
2.3000,5,37,42,171,0
-6.3000,1,34,35,61,0
2.2000,0,39,39,229,0
2.0000,3,38,41,174,0
1.9000,7,37,44,121,0
2.2000,0,44,44,64,0
1.9000,6,34,40,178,0
1.8000,2,37,39,238,0
1.9000,2,25,27,195,0
1.7000,0,49,49,84,0
1.9000,7,36,43,213,0
1.9000,0,38,38,165,0
1.9000,0,49,49,195,0
1.8000,8,25,33,83,0
2.2000,9,29,38,214,0
2.2000,0,44,44,233,0
2.1000,4,35,39,200,0
2.0000,0,48,48,136,0
1.8000,8,39,47,201,0
1.5000,0,45,45,166,0
1.8000,0,44,44,209,0
1.8000,0,44,44,138,0
2.6000,0,30,30,162,1
2.5000,0,25,25,195,1
2.5000,1,27,28,145,1
3.6000,0,19,19,220,1
3.1000,0,34,34,224,1
3.4000,0,32,32,199,1
3.2000,0,33,33,183,1
3.4000,0,24,24,215,1
2.8000,0,26,26,203,1
3.1000,0,29,29,179,1
2.7000,0,31,31,123,1
3.6000,0,20,20,85,1
3.1000,0,23,23,163,1
3.5000,1,35,36,144,1
3.4000,0,34,34,139,1
3.6000,0,20,20,89,1
3.8000,2,22,24,181,1
3.8000,0,38,38,188,1
4.0000,0,38,38,147,1
4.2000,0,17,17,28,1
4.5000,1,14,15,209,1
4.2000,0,41,41,206,1
4.5000,0,46,46,195,1
4.4000,0,18,18,23,1
4.3000,0,20,20,175,1
4.2000,0,38,38,208,1
4.5000,0,44,44,150,1
4.3000,0,18,18,17,1
4.7000,0,21,21,146,1
4.5000,0,32,32,217,1
4.6000,0,47,47,170,1
4.3000,0,20,20,14,1
4.5000,0,19,19,77,1
4.4000,0,27,27,216,1
4.0000,0,46,46,157,1
4.2000,0,20,20,35,1
4.2000,0,20,20,72,1
4.8000,0,27,27,127,1
3.3000,1,32,33,118,1
4.3000,1,18,19,5,1
4.3000,0,18,18,17,1
4.5000,0,17,17,212,1
4.6000,0,40,40,232,1
4.7000,0,22,22,42,1
4.6000,0,22,22,25,1
4.8000,0,22,22,228,1
4.4000,0,41,41,238,1
3.5000,0,18,18,37,1
3.3000,0,21,21,22,1
3.9000,0,20,20,165,1
3.8000,1,27,28,273,1
3.5000,0,17,17,28,1
3.1000,0,18,18,35,1
4.1000,0,19,19,110,1
1.8000,0,27,27,272,1
3.1000,0,21,21,69,1
3.9000,0,23,23,77,1
3.9000,0,15,15,81,1
3.4000,0,10,10,269,1
3.1000,0,20,20,33,1
3.2000,0,20,20,19,1
3.6000,0,21,21,51,1
1.8000,0,22,22,237,1
3.0000,0,18,18,34,1
3.5000,0,18,18,49,1
3.8000,1,18,19,52,1
3.2000,0,20,20,243,1
2.4000,0,19,19,45,1
4.3000,0,19,19,57,1
3.1000,0,20,20,64,1
4.3000,1,18,19,181,1
2.8000,0,22,22,49,1
4.6000,0,21,21,53,1
4.2000,0,23,23,51,1
4.6000,2,17,19,121,1
2.2000,0,17,17,25,1
3.5000,2,17,19,13,1
4.2000,2,18,20,33,1
2.9000,0,20,20,63,1
