typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
2.2000,0,20,20,70,0
2.4000,0,16,16,58,0
2.6000,0,18,18,21,0
2.6000,0,8,8,10,0
2.6000,0,10,10,30,0
2.2000,0,12,12,27,0
1.8000,0,13,13,17,0
1.8000,0,22,22,106,0
1.6000,0,20,20,66,0
1.8000,0,21,21,54,0
2.0000,0,18,18,5,0
2.0000,0,11,11,0,0
2.0000,0,8,8,6,0
2.0000,0,9,9,9,0
1.6000,0,10,10,11,0
2.2000,0,21,21,85,0
2.2000,0,17,17,65,0
2.2000,0,20,20,50,0
2.2000,0,15,15,29,0
1.4000,0,12,12,7,0
2.2000,0,11,11,6,0
1.8000,0,8,8,16,0
1.8000,0,12,12,14,0
1.8000,0,24,24,83,0
1.6000,0,25,25,100,0
1.4000,0,21,21,35,0
2.0000,0,21,21,64,0
1.8000,0,18,18,24,0
2.0000,0,8,8,14,0
2.0000,0,9,9,15,0
2.0000,1,7,8,8,0
2.4000,0,21,21,84,0
2.2000,0,21,21,89,0
2.0000,4,16,20,69,0
2.0000,4,16,20,35,0
2.2000,0,21,21,9,0
2.2000,0,14,14,16,0
2.0000,0,11,11,22,0
2.0000,0,11,11,20,0
1.8000,0,24,24,45,0
1.4000,0,11,11,60,0
1.8000,0,15,15,47,0
1.6000,1,18,19,27,0
1.8000,0,21,21,27,0
1.0000,0,22,22,2,0
1.8000,0,9,9,6,0
1.8000,0,8,8,5,0
1.8000,0,24,24,41,0
2.2000,0,23,23,60,0
2.0000,0,20,20,45,0
1.8000,0,21,21,49,0
2.2000,0,21,21,83,0
2.2000,0,20,20,32,0
2.2000,0,15,15,25,0
2.0000,0,10,10,13,0
2.0000,0,25,25,57,0
2.2000,0,23,23,107,0
2.0000,0,22,22,72,0
2.0000,0,22,22,60,0
1.4000,0,24,24,40,0
2.0000,1,15,16,26,0
1.6000,0,20,20,24,0
2.2000,0,10,10,28,0
1.8000,0,23,23,77,0
2.0000,2,19,21,82,0
1.8000,0,20,20,101,0
2.0000,0,22,22,91,0
1.6000,5,18,23,40,0
1.6000,0,19,19,45,0
1.8000,0,21,21,7,0
1.8000,0,10,10,16,0
1.8000,0,23,23,84,0
2.2000,0,21,21,86,0
2.0000,7,13,20,91,0
2.0000,4,17,21,50,0
2.2000,0,24,24,83,0
2.4000,5,13,18,88,0
2.0000,1,19,20,38,0
-14.6000,0,15,15,23,0
2.0000,0,20,20,132,0
2.4000,0,19,19,97,0
2.2000,0,22,22,88,0
1.8000,3,16,19,86,0
1.8000,2,21,23,64,0
2.0000,5,16,21,57,0
2.2000,0,22,22,30,0
2.2000,0,22,22,34,0
2.0000,0,22,22,87,0
1.8000,6,12,18,91,0
1.8000,0,17,17,118,0
1.8000,2,20,22,120,0
1.8000,1,9,10,103,0
2.0000,1,16,17,92,0
1.8000,0,25,25,71,0
1.6000,0,24,24,13,0
2.0000,1,18,19,113,0
1.8000,6,18,24,100,0
2.0000,0,22,22,77,0
1.8000,0,16,16,88,0
2.0000,0,25,25,86,0
1.8000,0,24,24,109,0
1.6000,8,10,18,56,0
2.0000,0,15,15,27,0
2.2000,9,7,16,88,0
2.2000,0,22,22,126,0
2.2000,0,22,22,121,0
2.2000,0,22,22,112,0
2.0000,4,13,17,120,0
2.2000,0,22,22,80,0
2.2000,0,23,23,68,0
1.8000,0,25,25,68,0
1.6000,3,22,25,110,0
2.0000,5,17,22,91,0
1.2000,0,23,23,84,0
1.8000,0,22,22,82,0
2.2000,0,21,21,83,0
1.4000,0,23,23,126,0
1.6000,0,22,22,101,0
2.0000,0,22,22,37,0
1.8000,0,20,20,97,0
2.0000,10,12,22,72,0
2.0000,0,17,17,68,0
2.0000,0,18,18,89,0
2.2000,0,21,21,72,0
2.2000,0,21,21,120,0
2.2000,4,12,16,80,0
1.8000,0,20,20,71,0
2.0000,0,18,18,95,0
2.0000,0,22,22,87,0
2.0000,4,16,20,97,0
2.2000,0,22,22,78,0
2.0000,0,19,19,92,0
0.8000,0,18,18,97,0
2.2000,0,22,22,73,0
1.8000,4,17,21,92,0
1.6000,0,12,12,88,0
2.0000,0,25,25,104,0
2.0000,0,26,26,118,0
2.0000,2,17,19,60,0
2.0000,3,14,17,82,0
0.8000,0,17,17,94,0
1.8000,0,24,24,86,0
2.4000,0,24,24,87,0
1.6000,0,10,10,93,0
2.0000,0,16,16,138,0
1.8000,8,12,20,97,0
1.8000,0,25,25,111,0
2.0000,0,24,24,89,0
2.2000,0,15,15,71,0
1.2000,0,19,19,90,0
1.8000,0,23,23,117,0
2.0000,1,8,9,91,0
2.4000,0,10,10,90,0
2.2000,0,19,19,82,0
2.4000,0,23,23,64,0
2.2000,0,23,23,46,0
2.4000,0,19,19,81,0
2.0000,3,18,21,83,0
1.8000,0,22,22,52,0
4.4000,0,11,11,11,1
4.8000,0,9,9,105,1
4.2000,1,5,6,104,1
4.6000,0,20,20,121,1
3.8000,0,21,21,85,1
4.6000,0,23,23,109,1
4.4000,0,23,23,86,1
4.4000,0,9,9,14,1
4.4000,0,9,9,9,1
4.4000,0,10,10,79,1
4.2000,0,10,10,96,1
4.2000,0,16,16,106,1
4.2000,0,22,22,102,1
4.6000,0,22,22,85,1
4.4000,0,22,22,65,1
4.0000,0,9,9,13,1
4.6000,0,9,9,4,1
4.8000,0,10,10,10,1
4.6000,0,11,11,136,1
4.6000,0,11,11,109,1
