typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
1.8000,0,10,10,18,0
2.4000,0,10,10,29,0
1.8000,0,10,10,17,0
1.8000,0,9,9,12,0
1.0000,0,4,4,74,0
1.2000,0,5,5,34,0
1.6000,0,6,6,19,0
1.2000,0,12,12,64,0
2.4000,0,16,16,49,0
2.2000,2,9,11,48,0
2.0000,0,12,12,40,0
1.8000,0,11,11,39,0
1.8000,0,9,9,23,0
1.8000,0,10,10,40,0
2.0000,0,8,8,37,0
1.8000,0,12,12,72,0
3.0000,0,16,16,82,0
2.6000,1,11,12,63,0
2.4000,0,9,9,51,0
2.8000,0,13,13,52,0
2.4000,0,14,14,65,0
2.2000,0,12,12,46,0
2.6000,0,14,14,76,0
2.4000,0,16,16,31,0
2.4000,0,15,15,37,0
2.4000,0,16,16,17,0
1.8000,0,12,12,17,0
1.8000,0,12,12,24,0
2.2000,0,11,11,14,0
1.6000,0,9,9,4,0
2.2000,0,10,10,2,0
2.2000,0,18,18,69,0
2.4000,0,17,17,42,0
2.4000,0,18,18,20,0
2.4000,0,15,15,11,0
2.0000,0,11,11,20,0
2.4000,0,12,12,19,0
2.0000,0,12,12,7,0
2.0000,0,11,11,17,0
1.8000,0,24,24,45,0
1.4000,0,11,11,60,0
1.8000,0,15,15,47,0
1.6000,1,18,19,27,0
1.8000,0,21,21,27,0
1.0000,0,22,22,2,0
1.8000,0,9,9,6,0
1.8000,0,8,8,5,0
1.8000,0,24,24,41,0
2.2000,0,23,23,60,0
2.0000,0,20,20,45,0
1.8000,0,21,21,49,0
2.2000,0,21,21,83,0
2.2000,0,20,20,32,0
2.2000,0,15,15,25,0
2.0000,0,10,10,13,0
2.0000,0,25,25,57,0
2.2000,0,23,23,107,0
2.0000,0,22,22,72,0
2.0000,0,22,22,60,0
1.4000,0,24,24,40,0
2.0000,1,15,16,26,0
1.6000,0,20,20,24,0
2.2000,0,10,10,28,0
1.8000,0,23,23,77,0
2.0000,2,19,21,82,0
1.8000,0,20,20,101,0
2.0000,0,22,22,91,0
1.6000,5,18,23,40,0
1.6000,0,19,19,45,0
1.8000,0,21,21,7,0
1.8000,0,10,10,16,0
1.8000,0,23,23,84,0
2.2000,0,21,21,86,0
2.0000,7,13,20,91,0
2.0000,4,17,21,50,0
2.2000,0,24,24,83,0
2.4000,5,13,18,88,0
2.0000,1,19,20,38,0
-14.6000,0,15,15,23,0
2.0000,0,20,20,132,0
2.4000,0,19,19,97,0
2.2000,0,22,22,88,0
1.8000,3,16,19,86,0
1.8000,2,21,23,64,0
2.0000,5,16,21,57,0
2.2000,0,22,22,30,0
2.2000,0,22,22,34,0
2.0000,0,22,22,87,0
1.8000,6,12,18,91,0
1.8000,0,17,17,118,0
1.8000,2,20,22,120,0
1.8000,1,9,10,103,0
2.0000,1,16,17,92,0
1.8000,0,25,25,71,0
1.6000,0,24,24,13,0
2.0000,1,18,19,113,0
1.8000,6,18,24,100,0
2.0000,0,22,22,77,0
1.8000,0,16,16,88,0
2.0000,0,25,25,86,0
1.8000,0,24,24,109,0
1.6000,8,10,18,56,0
2.0000,0,15,15,27,0
2.2000,9,7,16,88,0
2.2000,0,22,22,126,0
2.2000,0,22,22,121,0
2.2000,0,22,22,112,0
2.0000,4,13,17,120,0
2.2000,0,22,22,80,0
2.2000,0,23,23,68,0
1.8000,0,25,25,68,0
1.6000,3,22,25,110,0
2.0000,5,17,22,91,0
1.2000,0,23,23,84,0
1.8000,0,22,22,82,0
2.2000,0,21,21,83,0
1.4000,0,23,23,126,0
1.6000,0,22,22,101,0
2.0000,0,22,22,37,0
1.8000,0,20,20,97,0
2.0000,10,12,22,72,0
2.0000,0,17,17,68,0
2.0000,0,18,18,89,0
2.2000,0,21,21,72,0
2.2000,0,21,21,120,0
2.2000,4,12,16,80,0
1.8000,0,20,20,71,0
2.0000,0,18,18,95,0
2.0000,0,22,22,87,0
2.0000,4,16,20,97,0
2.2000,0,22,22,78,0
2.0000,0,19,19,92,0
0.8000,0,18,18,97,0
2.2000,0,22,22,73,0
1.8000,4,17,21,92,0
1.6000,0,12,12,88,0
2.0000,0,25,25,104,0
2.0000,0,26,26,118,0
2.0000,2,17,19,60,0
2.0000,3,14,17,82,0
0.8000,0,17,17,94,0
1.8000,0,24,24,86,0
2.4000,0,24,24,87,0
1.6000,0,10,10,93,0
2.0000,0,16,16,138,0
1.8000,8,12,20,97,0
1.8000,0,25,25,111,0
2.0000,0,24,24,89,0
2.2000,0,15,15,71,0
1.2000,0,19,19,90,0
1.8000,0,23,23,117,0
2.0000,1,8,9,91,0
2.4000,0,10,10,90,0
2.2000,0,19,19,82,0
2.4000,0,23,23,64,0
2.2000,0,23,23,46,0
2.4000,0,19,19,81,0
2.0000,3,18,21,83,0
1.8000,0,22,22,52,0
3.2000,0,8,8,103,1
2.4000,0,14,14,77,1
2.8000,0,16,16,85,1
2.6000,0,11,11,101,1
2.4000,0,14,14,94,1
2.6000,0,15,15,85,1
2.4000,1,12,13,60,1
3.8000,0,10,10,108,1
3.4000,0,9,9,112,1
3.2000,0,15,15,109,1
3.0000,0,19,19,115,1
3.6000,0,14,14,90,1
3.2000,0,18,18,109,1
3.2000,0,15,15,83,1
3.2000,0,18,18,100,1
3.6000,0,13,13,102,1
3.2000,0,11,11,113,1
2.6000,0,9,9,99,1
3.0000,0,17,17,104,1
3.2000,0,15,15,96,1
3.0000,0,14,14,83,1
3.0000,0,15,15,60,1
2.4000,0,16,16,63,1
3.4000,0,10,10,29,1
3.8000,0,10,10,56,1
2.6000,0,10,10,69,1
3.6000,0,13,13,94,1
3.2000,0,18,18,80,1
3.8000,1,17,18,64,1
3.2000,0,17,17,97,1
3.6000,0,17,17,42,1
3.4000,0,9,9,25,1
3.8000,0,11,11,64,1
3.8000,2,10,12,91,1
3.8000,0,12,12,90,1
3.8000,0,19,19,97,1
3.8000,0,19,19,91,1
4.0000,0,20,20,79,1
4.0000,0,18,18,68,1
3.8000,1,8,9,3,1
4.8000,0,10,10,2,1
4.2000,0,9,9,14,1
4.4000,0,9,9,3,1
4.4000,0,9,9,101,1
4.6000,0,8,8,111,1
4.6000,0,17,17,119,1
4.6000,0,23,23,113,1
4.2000,0,11,11,24,1
5.2000,0,11,11,18,1
4.6000,0,10,10,17,1
4.6000,0,12,12,8,1
4.6000,0,12,12,96,1
5.0000,0,10,10,132,1
4.2000,0,14,14,134,1
4.6000,0,27,27,104,1
2.8000,0,10,10,23,1
4.2000,0,8,8,14,1
3.4000,0,11,11,17,1
3.2000,0,10,10,5,1
3.4000,0,10,10,43,1
4.4000,0,10,10,122,1
2.8000,0,9,9,131,1
4.8000,1,18,19,142,1
2.4000,0,8,8,15,1
4.6000,0,9,9,13,1
3.2000,0,9,9,16,1
3.0000,0,9,9,19,1
4.0000,0,10,10,13,1
4.2000,0,9,9,97,1
3.6000,0,9,9,138,1
0.0000,0,18,18,134,1
3.0000,0,11,11,22,1
3.2000,0,10,10,47,1
3.8000,0,11,11,55,1
4.0000,0,12,12,22,1
4.2000,0,10,10,19,1
3.6000,0,5,5,62,1
2.6000,0,5,5,135,1
4.2000,0,5,5,134,1
1.6000,0,11,11,23,1
4.6000,0,9,9,10,1
4.4000,0,10,10,12,1
2.0000,0,10,10,7,1
2.6000,0,10,10,11,1
4.6000,0,11,11,40,1
1.0000,0,11,11,125,1
2.6000,0,11,11,112,1
4.4000,0,9,9,13,1
1.6000,0,9,9,21,1
3.6000,0,9,9,19,1
3.4000,0,9,9,30,1
3.6000,0,10,10,27,1
4.0000,1,8,9,25,1
5.2000,0,10,10,95,1
1.2000,0,10,10,148,1
4.4000,0,9,9,24,1
0.4000,0,10,10,21,1
4.0000,0,10,10,26,1
4.6000,0,9,9,31,1
4.0000,0,10,10,39,1
2.2000,0,10,10,25,1
4.0000,1,8,9,6,1
4.6000,0,10,10,175,1
4.2000,0,10,10,23,1
1.4000,0,12,12,26,1
4.6000,0,11,11,29,1
4.6000,0,10,10,24,1
4.4000,0,11,11,19,1
4.0000,0,12,12,32,1
4.6000,0,10,10,10,1
4.6000,2,7,9,111,1
3.8000,0,10,10,13,1
0.6000,0,7,7,12,1
3.2000,2,8,10,5,1
3.8000,0,9,9,8,1
4.0000,0,11,11,6,1
4.4000,2,7,9,27,1
1.2000,0,10,10,16,1
4.6000,0,10,10,47,1
3.6000,0,14,14,34,1
4.4000,0,10,10,9,1
2.4000,0,10,10,16,1
4.6000,0,10,10,22,1
3.4000,0,11,11,26,1
4.0000,0,11,11,27,1
4.4000,0,11,11,30,1
2.2000,0,10,10,37,1
4.4000,0,16,16,12,1
5.0000,0,9,9,18,1
4.6000,0,10,10,15,1
1.4000,0,11,11,11,1
3.6000,0,10,10,4,1
4.8000,2,8,10,16,1
5.0000,1,10,11,13,1
2.0000,0,10,10,18,1
2.8000,0,19,19,14,1
2.6000,0,10,10,13,1
4.6000,0,9,9,14,1
4.2000,0,10,10,16,1
2.6000,0,8,8,15,1
4.6000,0,10,10,5,1
4.8000,1,7,8,15,1
5.0000,0,7,7,7,1
4.2000,0,24,24,34,1
4.6000,0,18,18,42,1
4.4000,0,10,10,28,1
4.2000,0,9,9,35,1
2.8000,0,10,10,20,1
4.4000,0,9,9,12,1
4.2000,0,10,10,18,1
2.8000,2,8,10,13,1
4.4000,0,10,10,28,1
4.6000,0,21,21,29,1
4.6000,0,19,19,9,1
4.6000,0,11,11,10,1
4.0000,0,12,12,28,1
4.8000,0,12,12,21,1
2.4000,0,11,11,17,1
5.2000,0,12,12,24,1
