typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
1.0000,0,9,9,30,0
2.5000,0,7,7,44,0
1.5000,0,8,8,27,0
2.5000,0,8,8,22,0
2.5000,0,7,7,4,0
2.5000,0,7,7,51,0
2.5000,0,4,4,4,0
2.5000,0,8,8,13,0
2.5000,0,8,8,7,0
2.5000,0,3,3,3,0
2.5000,0,3,3,7,0
3.0000,0,4,4,3,0
3.0000,0,3,3,11,0
2.0000,0,5,5,16,0
2.5000,0,5,5,24,0
2.0000,0,5,5,3,0
2.5000,0,5,5,2,0
2.5000,0,5,5,6,0
0.5000,0,5,5,9,0
2.0000,0,9,9,45,0
1.5000,0,8,8,41,0
2.0000,0,9,9,42,0
1.5000,0,9,9,23,0
1.5000,0,7,7,21,0
2.0000,0,7,7,37,0
1.5000,0,9,9,6,0
2.0000,0,10,10,13,0
2.0000,0,8,8,0,0
2.0000,0,5,5,3,0
2.0000,0,5,5,0,0
2.0000,0,4,4,0,0
2.5000,0,4,4,1,0
2.0000,0,3,3,2,0
1.5000,0,3,3,3,0
2.0000,0,3,3,7,0
2.0000,0,4,4,2,0
2.0000,0,4,4,4,0
1.5000,0,3,3,1,0
1.5000,0,5,5,6,0
2.5000,0,9,9,37,0
2.0000,0,8,8,34,0
2.0000,0,8,8,31,0
2.5000,0,5,5,21,0
2.0000,0,8,8,27,0
2.5000,0,7,7,18,0
2.0000,0,9,9,28,0
2.5000,0,6,6,6,0
2.0000,0,7,7,21,0
2.0000,0,6,6,6,0
2.0000,0,6,6,3,0
0.5000,0,4,4,1,0
2.0000,0,4,4,5,0
2.0000,0,4,4,2,0
2.5000,0,5,5,2,0
1.5000,0,4,4,6,0
2.0000,0,4,4,9,0
1.5000,0,3,3,1,0
2.0000,0,4,4,9,0
2.0000,0,5,5,5,0
2.0000,0,9,9,39,0
1.5000,0,10,10,32,0
1.5000,0,10,10,32,0
2.0000,0,10,10,48,0
1.5000,0,10,10,32,0
2.0000,0,10,10,21,0
0.5000,0,7,7,14,0
2.0000,0,9,9,32,0
2.0000,0,7,7,13,0
2.0000,0,9,9,19,0
1.5000,0,10,10,8,0
2.0000,0,7,7,13,0
2.0000,0,3,3,4,0
2.0000,0,3,3,3,0
2.0000,0,3,3,10,0
2.0000,0,3,3,5,0
2.0000,0,4,4,6,0
2.0000,0,4,4,7,0
2.0000,1,2,3,2,0
2.0000,0,3,3,3,0
2.0000,0,8,8,43,0
2.5000,0,10,10,27,0
2.5000,0,7,7,33,0
2.0000,0,9,9,40,0
2.5000,0,8,8,30,0
2.0000,0,9,9,33,0
2.0000,4,2,6,24,0
2.0000,0,8,8,18,0
1.5000,0,9,9,21,0
2.5000,4,4,8,8,0
2.5000,0,8,8,3,0
2.0000,0,8,8,5,0
2.0000,0,9,9,5,0
2.5000,0,6,6,7,0
2.0000,0,4,4,5,0
1.5000,0,5,5,6,0
2.5000,0,4,4,4,0
2.0000,0,5,5,15,0
2.0000,0,4,4,8,0
2.0000,0,4,4,9,0
1.5000,0,10,10,21,0
2.0000,0,9,9,12,0
1.5000,0,6,6,23,0
1.5000,0,2,2,25,0
1.5000,0,8,8,24,0
2.0000,0,6,6,19,0
1.5000,0,6,6,21,0
2.0000,0,7,7,14,0
1.5000,0,7,7,16,0
1.5000,1,7,8,4,0
2.0000,0,9,9,19,0
