typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
2.0000,0,12,12,50,0
2.0000,0,12,12,27,0
2.3333,0,11,11,26,0
2.3333,0,9,9,54,0
2.6667,0,10,10,14,0
2.3333,0,9,9,8,0
2.6667,0,5,5,9,0
3.0000,0,6,6,6,0
2.3333,0,6,6,24,0
2.3333,0,8,8,24,0
2.3333,0,7,7,5,0
1.6667,0,7,7,12,0
1.6667,0,12,12,48,0
1.6667,0,13,13,61,0
1.6667,0,13,13,45,0
1.6667,0,9,9,21,0
1.6667,0,14,14,43,0
2.0000,0,14,14,13,0
2.0000,0,9,9,3,0
2.0000,0,7,7,0,0
2.3333,0,6,6,1,0
2.0000,0,5,5,5,0
1.6667,0,4,4,7,0
2.0000,0,6,6,2,0
1.6667,0,5,5,5,0
2.0000,0,10,10,20,0
2.0000,0,12,12,57,0
2.3333,0,11,11,46,0
2.0000,0,10,10,33,0
2.3333,0,11,11,18,0
2.3333,0,11,11,34,0
2.0000,0,8,8,22,0
2.0000,0,11,11,8,0
1.0000,0,6,6,4,0
2.0000,0,6,6,4,0
2.3333,0,7,7,7,0
1.6667,0,6,6,10,0
1.3333,0,5,5,1,0
2.3333,0,7,7,14,0
2.0000,0,14,14,55,0
1.3333,0,15,15,48,0
2.0000,0,15,15,66,0
1.6667,0,15,15,35,0
1.0000,0,11,11,14,0
2.0000,0,12,12,45,0
2.0000,0,14,14,23,0
1.6667,0,12,12,17,0
2.0000,0,4,4,7,0
2.0000,0,5,5,10,0
2.0000,0,5,5,5,0
2.0000,0,6,6,13,0
2.0000,1,3,4,3,0
2.0000,0,10,10,45,0
2.6667,0,13,13,41,0
2.0000,0,13,13,59,0
2.3333,0,13,13,57,0
2.0000,4,6,10,30,0
1.6667,0,13,13,18,0
2.3333,4,8,12,29,0
2.3333,0,12,12,6,0
2.0000,0,13,13,7,0
2.3333,0,8,8,10,0
1.6667,0,7,7,8,0
2.3333,0,6,6,16,0
2.0000,0,7,7,11,0
1.6667,0,9,9,19,0
2.0000,0,14,14,23,0
1.6667,0,7,7,33,0
1.3333,0,9,9,39,0
1.6667,0,11,11,29,0
2.0000,0,8,8,25,0
1.6667,1,10,11,20,0
1.6667,0,13,13,19,0
1.6667,0,12,12,8,0
1.6667,0,13,13,1,0
0.3333,0,10,10,2,0
2.0000,0,6,6,3,0
2.0000,0,6,6,4,0
1.6667,0,4,4,3,0
1.6667,0,15,15,26,0
2.3333,0,13,13,30,0
2.0000,0,15,15,29,0
2.0000,0,13,13,33,0
2.0000,0,11,11,28,0
2.0000,0,12,12,21,0
1.6667,0,14,14,28,0
2.3333,0,11,11,74,0
2.0000,0,14,14,29,0
2.3333,0,11,11,12,0
2.3333,0,11,11,19,0
1.6667,0,6,6,6,0
2.3333,0,6,6,8,0
2.3333,0,14,14,26,0
1.6667,0,13,13,36,0
2.3333,0,13,13,68,0
2.0000,0,13,13,64,0
2.0000,0,14,14,39,0
2.0000,0,14,14,42,0
2.0000,0,13,13,26,0
1.0000,0,15,15,10,0
2.0000,0,13,13,36,0
2.0000,1,10,11,11,0
1.3333,0,9,9,15,0
2.0000,0,12,12,18,0
2.0000,0,5,5,15,0
2.3333,0,11,11,22,0
1.6667,0,12,12,58,0
