typing_speed,backspace_key_press_freq,max_text,touch_count,shake_count,arousal
2.1667,0,23,23,53,0
2.5000,0,19,19,68,0
2.5000,0,14,14,17,0
2.6667,0,12,12,30,0
2.3333,0,15,15,29,0
1.6667,0,19,19,60,0
1.6667,0,26,26,106,0
1.6667,0,23,23,64,0
2.0000,0,23,23,16,0
2.1667,0,13,13,1,0
1.8333,0,9,9,12,0
1.8333,0,11,11,7,0
2.0000,0,22,22,77,0
2.1667,0,21,21,79,0
2.3333,0,22,22,52,0
2.0000,0,19,19,30,0
1.5000,0,12,12,8,0
2.0000,0,13,13,17,0
1.8333,0,12,12,15,0
1.6667,0,29,29,103,0
1.8333,0,30,30,101,0
1.5000,0,23,23,59,0
1.8333,0,26,26,40,0
2.0000,0,9,9,17,0
2.0000,0,11,11,18,0
2.0000,1,13,14,48,0
2.3333,0,26,26,100,0
2.1667,4,19,23,87,0
2.0000,4,21,25,47,0
2.1667,0,25,25,13,0
2.0000,0,15,15,18,0
2.1667,0,13,13,27,0
1.8333,0,23,23,42,0
1.5000,0,16,16,72,0
1.8333,0,19,19,54,0
1.6667,1,23,24,39,0
1.6667,0,25,25,9,0
1.1667,0,16,16,5,0
1.8333,0,10,10,7,0
2.0000,0,28,28,56,0
2.0000,0,28,28,62,0
2.0000,0,23,23,49,0
2.0000,0,25,25,102,0
2.1667,0,25,25,41,0
2.0000,0,17,17,25,0
2.3333,0,20,20,34,0
2.0000,0,26,26,104,0
2.0000,0,27,27,103,0
2.0000,0,27,27,68,0
1.5000,0,28,28,46,0
1.6667,1,19,20,26,0
2.0000,0,17,17,33,0
2.0000,0,23,23,80,0
2.0000,2,24,26,92,0
1.8333,0,25,25,132,0
1.8333,0,28,28,84,0
1.6667,5,18,23,50,0
1.8333,0,26,26,18,0
1.6667,0,13,13,16,0
1.8333,0,28,28,100,0
2.1667,0,24,24,105,0
2.0000,11,13,24,85,0
2.1667,0,27,27,91,0
2.3333,5,19,24,101,0
2.0000,1,24,25,42,0
-11.8333,0,16,16,69,0
2.3333,0,25,25,147,0
2.1667,0,26,26,103,0
1.8333,3,20,23,103,0
1.8333,2,27,29,77,0
2.1667,5,19,24,61,0
2.1667,0,26,26,27,0
2.0000,0,28,28,90,0
1.8333,6,15,21,108,0
1.8333,0,22,22,149,0
1.6667,3,20,23,123,0
2.0000,1,14,15,123,0
1.8333,0,27,27,99,0
1.6667,0,28,28,23,0
2.0000,1,23,24,138,0
1.8333,6,22,28,119,0
1.8333,0,23,23,94,0
2.0000,0,25,25,111,0
1.8333,0,30,30,111,0
1.6667,8,11,19,57,0
2.1667,3,19,22,67,0
2.1667,6,15,21,120,0
2.1667,0,28,28,145,0
2.1667,0,25,25,141,0
2.1667,4,18,22,143,0
2.1667,0,27,27,79,0
2.0000,0,28,28,97,0
1.5000,0,30,30,92,0
2.0000,8,19,27,126,0
1.1667,0,28,28,101,0
2.0000,0,25,25,98,0
2.1667,0,26,26,124,0
1.1667,0,28,28,128,0
2.0000,0,26,26,62,0
1.8333,0,25,25,118,0
2.0000,10,13,23,85,0
2.0000,0,22,22,89,0
2.1667,0,27,27,87,0
2.1667,0,22,22,139,0
2.1667,4,15,19,96,0
1.8333,0,22,22,101,0
2.0000,0,26,26,104,0
2.0000,4,22,26,111,0
2.1667,0,25,25,96,0
1.8333,0,22,22,107,0
1.3333,0,24,24,130,0
2.0000,4,23,27,84,0
1.5000,0,15,15,98,0
2.0000,0,29,29,127,0
2.0000,0,31,31,132,0
2.0000,5,15,20,74,0
1.1667,0,20,20,106,0
1.6667,0,26,26,119,0
2.3333,0,30,30,96,0
1.8333,0,12,12,113,0
