TimeStamp,Study(1)/NonStudy(2),Specification,Table(T)/Hand(H),Path,PackageName,Light Intensity,RAW Accelerometer X,RAW Accelerometer Y,RAW Accelerometer Z,Displacement(ACC),RAW Gyroscope X,RAW Gyroscope Y,RAW Gyroscope Z,Displacement(Gyro),RAW Gravity X,RAW Gravity Y,RAW Gravity Z,Displacement(Grav),RAW Rotation Vector X,RAW Rotation Vector Y,RAW Rotation Vector Z,Displacement(RotVec),RAW Game Rotation Vector X,RAW Game Rotation Vector Y,RAW Game Rotation Vector Z,Displacement(GameRotVec),RAW Linear Acceleration X,RAW Linear Acceleration Y,RAW Linear Acceleration Z,Displacement(LinAcc),Battery Temperature,Total Memory,Free Memory,Memory Used,Others
2018-02-15-15.08.48.,1,1A,H,com.android.chrome,null,105,0.6895294,3.5051117,9.289505,9.952696216,-0.05706787,-0.016616821,0.019836426,6.27E-02,0.7190151,3.445076,9.153407,9.806650349,0.15112905,0.102304205,0.7058776,0.72908801,0.16468187,-0.07865128,-0.23352842,0.296380946,-0.07360935,0.03213024,0.023639679,0.083722895,30,882,240,642,94
2018-02-15-15.08.49.,1,1A,H,com.android.chrome,null,105,0.7086792,3.447647,9.212891,9.862345392,0.010055542,-0.010223389,-0.008926392,1.69E-02,0.73196495,3.4034016,9.167959,9.80665016,0.14952515,0.1010268,0.70970446,0.732287242,0.16251802,-0.078435175,-0.23170653,0.293687078,-0.010518432,0.052812815,-0.016051292,0.056191412,30,882,240,642,95
2018-02-15-15.08.50.,1,1A,H,com.android.chrome,null,92,0.61291504,3.7924194,9.25119,10.01711666,-0.029373169,-0.003829956,0.041152954,5.07E-02,0.50080496,3.8577335,9.002082,9.806650483,0.15857995,0.12680967,0.7043115,0.732995895,0.18881938,-0.07327222,-0.23379366,0.309323539,0.031315744,-0.0783627,0.36551666,0.375131733,30,882,239,643,96
2018-02-15-15.08.51.,1,1A,H,com.android.chrome,null,105,0.8427582,4.098877,9.88327,10.73266323,0.051589966,-0.1870575,-0.10479736,2.21E-01,0.73763853,3.5786467,9.100526,9.806650615,0.15624125,0.10766153,0.70884395,0.733799754,0.17125265,-0.08169984,-0.23516007,0.302163189,0.096776605,-0.17147565,0.1626625,0.255399097,30,882,238,644,97
2018-02-15-15.08.52.,1,1A,H,com.android.chrome,null,101,0.3830719,3.830719,9.021347,9.80845828,0.19007874,0.14530945,-0.057922363,2.46E-01,0.6662395,3.553208,9.115988,9.806650773,0.1527921,0.108943,0.707861,0.732312227,0.17072392,-0.07789317,-0.23604515,0.301548198,-0.25215727,0.20025468,-0.1945858,0.376229796,30,882,236,646,98
2018-02-15-15.08.53.,1,1A,H,com.android.chrome,null,77,0.01914978,3.8498688,9.155426,9.931952564,0.015380859,-0.019805908,-0.012115479,2.79E-02,0.011809238,3.793846,9.043063,9.806650567,0.13582167,0.14302453,0.7128834,0.739666333,0.19176766,-0.04644661,-0.22780184,0.301373193,0.007236707,0.022664785,0.032850266,0.040561094,30,882,237,645,99
2018-02-15-15.08.54.,1,1A,H,com.android.chrome,null,105,0.746994,3.4667969,8.944733,9.622106278,0.008987427,-0.03152466,0.008132935,3.38E-02,0.708558,3.3899655,9.174773,9.806649791,0.14791128,0.1016809,0.7113704,0.733665181,0.16192302,-0.07744473,-0.23391129,0.294841046,-0.15899515,0.04866314,0.038496017,0.170673672,30,882,236,646,100
2018-02-15-15.08.55.,1,1A,H,com.android.chrome,null,113,0.881073,3.447647,9.212891,9.876230052,0.012176514,-0.004898071,6.71E-04,1.31E-02,0.8271872,3.433064,9.148783,9.806650676,0.15430361,0.098652475,0.70883286,0.732110605,0.1626936,-0.08409939,-0.23430322,0.29738849,0.06619191,-0.052119732,0.026715279,0.088382926,30,882,237,645,101
2018-02-15-15.08.56.,1,1A,H,com.android.chrome,null,113,0.881073,3.4284973,9.193741,9.851688025,-0.003799439,4.27E-04,0.002792358,4.73E-03,0.8232921,3.4362204,9.147948,9.806649434,0.15411985,0.09915391,0.7098821,0.733155524,0.16289936,-0.08395372,-0.23435465,0.297500472,0.05105108,-0.0358119,-0.028985977,0.068766938,30,882,235,647,1
2018-02-15-15.08.57.,1,1A,H,com.android.chrome,null,105,0.7086792,3.6774902,9.595963,10.30090609,0.06970215,-0.046447754,0.039016724,9.24E-02,0.7246576,3.561263,9.108384,9.806649881,0.15497275,0.1076341,0.7097805,0.734431761,0.17070845,-0.08037587,-0.2327687,0.299637987,-0.08082783,0.07985997,0.27963543,0.301838908,30,882,228,654,2
2018-02-15-15.08.58.,1,1A,H,com.android.chrome,null,105,1.1300659,3.5051117,9.768341,10.43950875,-0.012329102,0.05369568,0.017715454,5.79E-02,0.83080417,3.653416,9.06271,9.80665063,0.16214351,0.10788834,0.7109042,0.737099175,0.17454961,-0.08638779,-0.22931129,0.300855587,0.2927252,-0.1770482,0.63432884,0.720699095,30,882,223,659,3
2018-02-15-15.09.00.,1,1A,H,com.android.chrome,null,103,0.91937256,3.6774902,9.385269,10.12187998,-0.044281006,0.008956909,0.021972656,5.02E-02,0.7564935,3.7666693,9.022766,9.806650107,0.16416126,0.11409665,0.706675,0.73440896,0.18104836,-0.08478475,-0.23268007,0.306768606,0.17545855,-0.16019273,0.16922474,0.291692348,30,882,220,662,4
2018-02-15-15.09.01.,1,1A,H,com.android.chrome,null,108,0.91937256,3.6774902,9.174576,9.926833576,-0.06878662,-0.050704956,-0.005722046,8.56E-02,0.80464256,3.7319262,9.033031,9.80664937,0.16409469,0.11187713,0.71036935,0.73760977,0.17872387,-0.08661025,-0.23191567,0.305333318,0.16472286,-0.16570425,-0.05724907,0.240559712,30,882,219,663,5
