typing_speed,max_text,touch_count,shake_count,arousal,valence,state
1,2,2,26,0,-1,3
2,5,5,20,1,-1,4
2,3,3,16,1,1,1
2,4,4,7,1,1,1
2,6,6,28,1,1,1
2,5,5,21,1,1,1
2,5,5,10,1,1,1
2,2,5,19,1,1,1
2,0,6,9,0,-1,3
2,0,1,13,1,-1,4
2,5,5,25,1,1,1
2,1,1,9,1,1,1
2,3,3,5,1,1,1
2,3,3,7,1,1,1
2,5,5,22,1,1,1
2,2,2,9,1,1,1
2,5,5,26,1,1,1
2,4,4,20,1,1,1
2,3,3,17,1,1,1
2,4,4,17,1,1,1
3,6,6,16,1,1,1
2,4,4,12,1,1,1
1,5,5,10,0,-1,3
3,5,5,15,1,-1,4
2,1,1,19,1,1,1
2,5,5,25,1,1,1
2,4,4,26,1,1,1
2,3,3,23,1,1,1
2,5,5,20,1,1,1
3,4,4,26,1,1,1
2,4,4,19,1,1,1
3,1,4,17,1,1,1
2,2,3,18,1,1,1
2,3,3,11,1,1,1
2,2,2,15,1,1,1
2,3,3,16,1,1,1
2,3,3,29,1,1,1
2,4,4,18,1,1,1
1,5,5,8,0,-1,3
2,5,5,0,1,-1,4
2,1,1,23,1,1,1
2,4,4,23,1,1,1
2,3,3,19,1,1,1
2,5,5,13,1,1,1
2,5,5,17,1,1,1
2,4,4,8,1,1,1
2,5,5,36,1,1,1
2,4,4,11,1,1,1
2,4,4,19,1,1,1
2,5,5,13,1,1,1
2,5,5,24,1,1,1
2,4,4,20,1,1,1
2,0,4,20,1,1,1
2,4,4,15,1,1,1
2,3,3,18,1,1,1
2,5,5,14,1,1,1
2,4,4,24,1,1,1
3,3,3,10,1,1,1
2,6,6,15,1,1,1
2,4,4,15,1,1,1
2,4,4,21,1,1,1
2,4,4,23,1,1,1
1,4,4,19,0,-1,3
3,3,3,6,1,-1,4
2,4,4,23,1,1,1
1,3,3,15,0,-1,3
-3,4,4,12,0,1,2
2,4,4,24,1,-1,4
2,2,2,21,1,1,1
2,5,5,25,1,1,1
2,4,4,20,1,1,1
3,5,5,28,1,1,1
2,5,5,4,1,1,1
1,4,4,15,0,-1,3
3,4,4,6,1,-1,4
1,5,5,24,0,-1,3
2,5,5,17,1,-1,4
3,0,4,18,1,1,1
1,2,2,22,0,-1,3
2,5,5,11,1,-1,4
1,2,2,0,0,-1,3
2,2,2,19,1,-1,4
2,2,2,28,1,1,1
1,2,2,18,0,-1,3
2,4,4,23,1,-1,4
2,4,4,16,1,1,1
2,6,6,24,1,1,1
2,5,5,14,1,1,1
1,6,6,25,0,-1,3
3,4,4,25,1,-1,4
2,6,6,32,1,1,1
2,5,5,15,1,1,1
2,4,4,25,1,1,1
2,6,6,23,1,1,1
2,5,5,23,1,1,1
2,5,5,14,1,1,1
2,3,3,16,1,1,1
2,5,5,15,1,1,1
2,4,4,5,1,1,1
2,0,2,10,1,1,1
2,0,3,18,1,1,1
2,3,3,10,1,1,1
2,5,5,19,1,1,1
2,5,5,19,1,1,1
2,1,1,16,1,1,1
0,5,5,12,0,-1,3
0,4,4,12,0,1,2
1,0,0,28,0,1,2
2,2,2,21,1,-1,4
1,6,6,21,0,-1,3
1,5,5,16,0,1,2
2,4,4,29,1,-1,4
2,4,4,14,1,1,1
2,5,5,18,1,1,1
2,6,6,9,1,1,1
3,6,6,15,1,1,1
3,4,4,14,1,1,1
2,5,5,23,1,1,1
2,5,5,16,1,1,1
2,4,4,19,1,1,1
1,2,2,18,0,-1,3
2,2,2,20,1,-1,4
2,3,3,24,1,1,1
2,2,2,13,1,1,1
1,1,1,18,0,-1,3
3,2,2,20,1,-1,4
1,2,2,15,0,-1,3
2,2,2,28,1,-1,4
2,5,5,33,1,1,1
2,5,5,42,1,1,1
2,5,5,31,1,1,1
2,3,4,22,1,1,1
2,0,6,15,0,-1,3
2,1,2,8,1,-1,4
1,3,3,21,0,-1,3
3,6,6,18,1,-1,4
2,5,5,29,1,1,1
1,5,5,21,0,-1,3
2,5,5,23,1,-1,4
1,4,4,20,0,-1,3
2,5,5,13,1,-1,4
2,5,5,16,1,1,1
2,5,5,21,1,1,1
2,4,4,24,1,1,1
2,5,5,15,1,1,1
2,3,3,8,1,1,1
3,3,3,24,1,1,1
2,4,4,12,1,1,1
2,4,4,16,1,1,1
2,1,1,11,1,1,1
0,2,2,13,0,-1,3
0,3,3,15,0,1,2
2,5,5,17,1,-1,4
2,5,5,20,1,1,1
2,4,4,25,1,1,1
1,3,3,30,0,-1,3
2,5,5,21,1,-1,4
2,5,5,21,1,1,1
2,5,5,19,1,1,1
2,5,5,26,1,1,1
1,2,2,10,0,-1,3
2,2,2,21,1,-1,4
3,2,2,23,1,1,1
2,1,1,21,1,1,1
2,1,2,16,1,1,1
2,2,2,13,1,1,1
3,2,2,24,1,1,1
2,2,2,10,1,1,1
3,3,3,33,1,1,1
2,1,1,10,1,1,1
2,2,2,22,1,1,1
2,2,2,16,1,1,1
3,5,5,19,1,1,1
2,4,4,13,1,1,1
2,6,6,12,1,1,1
3,4,4,20,1,1,1
2,5,5,10,1,1,1
2,4,4,20,1,1,1
3,6,6,10,1,1,1
2,4,4,4,1,1,1
2,4,4,10,1,1,1
2,5,5,10,1,1,1
2,5,5,5,1,1,1
3,4,4,11,1,1,1
2,5,5,10,1,1,1
2,4,4,26,1,1,1
3,3,3,9,1,1,1
2,5,5,18,1,1,1
3,3,3,15,1,1,1
2,4,4,13,1,1,1
2,6,6,7,1,1,1
2,1,1,3,1,1,1
2,3,5,19,1,1,1
2,3,4,39,1,1,1
2,5,5,15,1,1,1
2,5,5,8,1,1,1
2,3,3,4,1,1,1
1,5,5,15,0,-1,3
1,4,4,11,0,1,2
3,5,5,14,1,-1,4
2,4,4,7,1,1,1
4,3,3,9,1,1,1
4,3,3,7,1,1,1
3,2,2,7,1,1,1
5,2,2,4,1,1,1
6,2,2,2,1,1,1
4,2,2,4,1,1,1
4,2,2,1,1,1,1
4,2,2,0,1,1,1
4,2,2,2,1,1,1
6,2,2,1,1,1,1
0,2,2,7,0,-1,3
-1,2,2,2,0,1,2
4,2,2,2,1,-1,4
3,2,2,4,1,1,1
5,2,2,8,1,1,1
5,2,2,5,1,1,1
3,2,2,3,1,1,1
4,2,2,5,1,1,1
6,2,2,1,1,1,1
4,2,2,12,1,1,1
4,3,3,4,1,1,1
3,2,2,2,1,1,1
4,2,2,7,1,1,1
2,2,2,1,1,1,1
5,2,2,2,1,1,1
4,2,2,11,1,1,1
2,2,2,8,1,1,1
4,2,2,2,1,1,1
5,3,3,4,1,1,1
4,2,2,4,1,1,1
5,2,2,4,1,1,1
4,2,2,4,1,1,1
4,2,2,9,1,1,1
5,3,3,9,1,1,1
5,2,2,4,1,1,1
1,2,2,3,0,-1,3
-2,2,2,1,0,1,2
5,2,2,14,1,-1,4
2,2,2,15,1,1,1
1,4,4,1,0,-1,3
5,4,4,2,1,-1,4
6,4,4,0,1,1,1
4,2,2,7,1,1,1
6,2,2,2,1,1,1
4,1,1,5,1,1,1
6,2,2,7,1,1,1
4,2,2,3,1,1,1
5,3,3,2,1,1,1
6,1,1,1,1,1,1
5,2,2,3,1,1,1
5,2,2,5,1,1,1
5,2,2,4,1,1,1
3,2,2,3,1,1,1
5,2,2,0,1,1,1
2,2,2,2,1,1,1
-5,2,2,4,0,-1,3
0,3,3,4,0,1,2
6,2,2,1,1,-1,4
4,2,2,0,1,1,1
3,2,2,0,1,1,1
3,2,2,2,1,1,1
4,2,2,0,1,1,1
5,2,2,1,1,1,1
3,2,2,1,1,1,1
4,2,2,0,1,1,1
5,2,2,2,1,1,1
5,2,2,7,1,1,1
4,2,2,3,1,1,1
6,0,2,4,1,1,1
5,1,2,4,1,1,1
5,2,2,0,1,1,1
5,2,2,2,1,1,1
5,2,2,6,1,1,1
5,3,3,1,1,1,1
3,2,2,6,1,1,1
5,2,2,7,1,1,1
5,2,2,1,1,1,1
2,2,2,2,1,1,1
-5,2,2,2,0,-1,3
2,4,4,1,1,-1,4
4,3,3,0,1,1,1
6,5,5,3,1,1,1
5,5,5,5,1,1,1
-3,2,2,5,0,-1,3
-4,2,2,0,0,1,2
2,2,2,6,1,-1,4
5,2,2,4,1,1,1
5,2,2,0,1,1,1
5,2,2,3,1,1,1
4,2,2,10,1,1,1
5,1,1,2,1,1,1
6,2,2,0,1,1,1
3,2,2,0,1,1,1
5,2,2,2,1,1,1
4,2,2,6,1,1,1
6,2,2,2,1,1,1
5,2,2,3,1,1,1
1,2,2,3,0,-1,3
5,2,2,2,1,-1,4
4,0,0,1,1,1,1
2,2,2,1,1,1,1
0,2,2,3,0,-1,3
5,2,2,7,1,-1,4
2,2,2,3,1,1,1
5,2,2,1,1,1,1
5,2,2,2,1,1,1
5,2,2,0,1,1,1
3,2,2,1,1,1,1
5,2,2,1,1,1,1
5,2,2,5,1,1,1
5,1,1,3,1,1,1
5,0,1,3,1,1,1
5,2,2,0,1,1,1
4,2,2,4,1,1,1
5,1,1,3,1,1,1
6,1,1,0,1,1,1
5,1,1,1,1,1,1
5,2,2,1,1,1,1
4,2,2,2,1,1,1
2,4,4,4,1,1,1
4,5,5,3,1,1,1
6,4,4,9,1,1,1
5,6,6,0,1,1,1
4,5,5,18,1,1,1
5,2,2,17,1,1,1
4,4,4,8,1,1,1
4,5,5,5,1,1,1
5,5,5,5,1,1,1
5,2,2,7,1,1,1
6,2,2,1,1,1,1
4,2,2,6,1,1,1
4,2,2,7,1,1,1
4,2,2,4,1,1,1
4,2,2,10,1,1,1
5,2,2,2,1,1,1
4,2,2,9,1,1,1
2,1,1,8,1,1,1
5,2,2,11,1,1,1
5,2,2,5,1,1,1
2,2,2,9,1,1,1
-1,2,2,0,0,-1,3
4,2,2,7,1,-1,4
4,2,2,3,1,1,1
5,2,2,1,1,1,1
4,2,2,6,1,1,1
5,2,2,1,1,1,1
3,1,1,1,1,1,1
5,2,2,4,1,1,1
5,2,2,0,1,1,1
4,2,2,2,1,1,1
4,2,2,1,1,1,1
4,2,2,5,1,1,1
5,2,2,2,1,1,1
4,2,2,8,1,1,1
5,2,2,3,1,1,1
4,2,2,1,1,1,1
5,2,2,1,1,1,1
0,2,2,5,0,-1,3
0,0,2,3,0,1,2
2,1,1,4,1,-1,4
5,1,1,9,1,1,1
5,1,1,3,1,1,1
5,2,2,4,1,1,1
5,5,5,8,1,1,1
5,5,5,5,1,1,1
5,3,3,8,1,1,1
4,5,5,7,1,1,1
5,4,4,7,1,1,1
4,4,4,2,1,1,1
5,4,4,2,1,1,1
5,4,4,4,1,1,1
5,3,3,1,1,1,1
5,4,4,0,1,1,1
3,4,4,2,1,1,1
3,2,2,2,1,1,1
6,3,3,0,1,1,1
5,2,2,5,1,1,1
4,2,2,3,1,1,1
5,2,2,0,1,1,1
4,3,3,8,1,1,1
4,2,2,1,1,1,1
4,3,3,2,1,1,1
3,2,2,9,1,1,1
5,2,2,8,1,1,1
5,3,3,6,1,1,1
4,2,2,5,1,1,1
6,2,2,3,1,1,1
4,2,2,6,1,1,1
5,3,3,1,1,1,1
4,2,2,4,1,1,1
5,3,3,3,1,1,1
4,2,2,0,1,1,1
-2,2,2,3,0,-1,3
1,2,2,7,0,1,2
6,2,2,2,1,-1,4
5,3,3,4,1,1,1
5,2,2,2,1,1,1
4,2,2,4,1,1,1
6,3,3,12,1,1,1
