typing_speed,max_text,touch_count,shake_count,arousal,valence,state
1.7,33,34,74,0,-1,3
1.4,43,43,29,0,1,2
1.8,17,17,11,0,1,2
2.0,47,47,101,0,1,2
1.9,41,41,94,0,1,2
2.2,41,41,115,0,1,2
2.1,25,25,38,0,1,2
2.1,48,48,164,0,1,2
2.0,44,44,132,0,1,2
1.7,39,40,66,0,1,2
1.9,30,30,52,0,1,2
1.9,42,44,159,0,1,2
1.9,42,42,192,0,1,2
1.6,37,42,85,0,1,2
1.8,31,31,23,0,1,2
2.0,44,44,170,0,1,2
2.0,30,41,141,0,1,2
2.3,37,42,171,0,1,2
-6.3,34,35,61,0,1,2
4.3,18,18,17,1,-1,4
4.5,17,17,212,1,1,1
4.6,40,40,232,1,1,1
4.7,22,22,42,1,1,1
4.6,22,22,25,1,1,1
4.8,22,22,228,1,1,1
4.4,41,41,238,1,1,1
3.5,18,18,37,1,1,1
3.3,21,21,22,1,1,1
3.9,20,20,165,1,1,1
3.8,27,28,273,1,1,1
3.5,17,17,28,1,1,1
3.1,18,18,35,1,1,1
4.1,19,19,110,1,1,1
1.8,27,27,272,0,-1,3
3.1,21,21,69,1,-1,4
3.9,23,23,77,1,1,1
3.9,15,15,81,1,1,1
3.4,10,10,269,1,1,1
