typing_speed,max_text,touch_count,shake_count,arousal,valence,state
2.0,36,36,148,0,-1,3
1.8889,38,43,123,0,1,2
2.1111,31,36,73,0,1,2
2.1111,40,40,114,0,1,2
1.7778,24,30,187,0,1,2
1.8889,32,35,207,0,1,2
1.8889,28,29,162,0,1,2
1.6667,42,43,68,0,1,2
1.8889,33,39,197,0,1,2
1.8889,36,36,157,0,1,2
2.0,41,41,164,0,1,2
1.6667,22,30,109,0,1,2
2.1111,24,33,124,0,1,2
2.2222,40,40,224,0,1,2
2.1111,33,37,207,0,1,2
2.2222,38,38,159,0,1,2
1.6667,43,43,129,0,1,2
2.0,33,41,172,0,1,2
1.4444,42,42,148,0,1,2
2.1111,39,39,181,0,1,2
1.4444,40,40,150,0,1,2
4.5556,17,17,18,1,-1,4
2.0,18,18,18,0,-1,3
3.0,20,20,139,1,-1,4
2.8889,19,19,149,1,1,1
3.0,16,16,24,1,1,1
3.2222,16,16,56,1,1,1
3.8889,16,17,44,1,1,1
3.7778,18,18,227,1,1,1
2.5556,17,17,48,1,1,1
3.1111,18,18,54,1,1,1
4.3333,17,17,61,1,1,1
2.8889,16,17,25,1,1,1
4.3333,18,18,188,1,1,1
2.7778,21,21,57,1,1,1
4.5556,19,19,45,1,1,1
4.3333,20,20,40,1,1,1
4.5556,15,17,119,1,1,1
2.2222,17,17,19,0,-1,3
3.1111,13,15,16,1,-1,4
4.4444,19,19,25,1,1,1
2.4444,16,18,31,0,-1,3
