typing_speed,max_text,touch_count,shake_count,arousal,valence,state
1.6667,5,5,16,0,-1,3
2.0,6,6,6,1,-1,4
2.0,6,6,13,1,1,1
2.3333,6,6,18,1,1,1
1.6667,6,6,14,0,-1,3
2.0,5,5,5,1,-1,4
1.6667,6,6,8,0,-1,3
1.6667,4,4,12,0,1,2
0.6667,2,2,64,0,1,2
1.0,3,3,25,0,1,2
1.6667,3,3,14,0,1,2
1.6667,3,3,10,0,1,2
2.0,5,5,30,1,-1,4
0.3333,9,9,38,0,-1,3
2.6667,10,10,33,1,-1,4
2.3333,9,9,27,1,1,1
2.0,6,6,30,1,1,1
2.0,4,6,25,1,1,1
2.0,8,8,22,1,1,1
2.0,6,6,17,1,1,1
1.6667,7,7,24,0,-1,3
1.6667,6,6,11,0,1,2
1.6667,5,5,22,0,1,2
2.0,6,6,28,1,-1,4
2.0,5,5,20,1,1,1
2.6667,3,3,35,1,1,1
0.6667,11,11,38,0,-1,3
3.0,6,6,61,1,-1,4
3.0,11,11,37,1,1,1
2.6667,6,7,37,1,1,1
2.6667,7,7,36,1,1,1
2.3333,3,3,35,1,1,1
2.6667,10,10,24,1,1,1
2.6667,7,7,34,1,1,1
2.3333,9,9,29,1,1,1
2.6667,7,7,43,1,1,1
1.6667,7,7,30,0,-1,3
2.6667,9,9,38,1,-1,4
2.6667,8,8,47,1,1,1
2.3333,10,10,26,1,1,1
2.6667,8,8,21,1,1,1
2.3333,10,10,18,1,1,1
2.3333,9,9,14,1,1,1
2.3333,10,10,6,1,1,1
1.6667,6,6,7,0,-1,3
2.0,8,8,19,1,-1,4
2.3333,7,7,8,1,1,1
1.3333,7,7,15,0,-1,3
2.3333,7,7,6,1,-1,4
1.6667,6,6,0,0,-1,3
1.6667,5,5,4,0,1,2
2.3333,7,7,2,1,-1,4
2.3333,8,8,36,1,1,1
2.0,11,11,33,0,-1,3
2.3333,11,11,37,1,-1,4
2.3333,10,10,7,1,1,1
2.6667,11,11,8,1,1,1
2.3333,11,11,13,1,1,1
2.3333,7,7,8,1,1,1
2.0,7,7,14,1,1,1
2.0,7,7,13,1,1,1
2.6667,7,7,10,1,1,1
