typing_speed,max_text,touch_count,shake_count,arousal,valence,state
2.0,18,18,45,0,-1,3
1.7778,15,15,25,0,1,2
1.1111,8,8,103,0,1,2
1.3333,17,17,78,0,1,2
2.3333,25,25,90,0,1,2
2.0,18,20,64,0,1,2
1.6667,18,18,57,0,1,2
2.2222,14,14,83,1,-1,4
2.2222,28,28,136,0,-1,3
2.5556,16,17,108,1,-1,4
2.5556,26,26,87,0,-1,3
2.3333,23,23,111,0,1,2
2.5556,26,26,94,0,1,2
2.3333,29,29,38,0,1,2
2.0,21,21,34,0,1,2
1.7778,20,20,21,0,1,2
2.1111,20,20,42,0,1,2
2.2222,32,32,77,0,1,2
2.4444,29,29,29,0,1,2
2.2222,21,21,37,0,1,2
2.0,21,21,19,0,1,2
2.6667,24,24,155,1,-1,4
2.6667,23,23,162,1,1,1
2.6667,26,26,169,1,1,1
2.6667,20,21,118,1,1,1
3.4444,18,18,211,1,1,1
3.1111,34,34,201,1,1,1
3.4444,28,28,183,1,1,1
3.3333,30,30,163,1,1,1
3.2222,23,23,187,1,1,1
2.8889,19,19,184,1,1,1
3.1111,27,27,172,1,1,1
3.0,28,28,134,1,1,1
2.7778,24,24,73,0,-1,3
3.2222,18,18,117,1,-1,4
3.4444,25,25,151,1,1,1
3.5556,30,31,136,1,1,1
3.4444,31,31,117,1,1,1
3.5556,18,18,54,1,1,1
3.8889,18,20,175,1,1,1
3.6667,32,32,176,1,1,1
4.1111,35,35,144,1,1,1
