typing_speed,max_text,touch_count,shake_count,arousal,valence,state
2.5,34,34,79,0,-1,3
2.6,18,18,40,1,-1,4
2.0,25,25,44,0,-1,3
1.7,42,42,172,0,1,2
1.9,39,39,59,0,1,2
2.0,19,19,6,0,1,2
1.8,19,19,20,0,1,2
2.2,38,38,150,0,1,2
2.2,35,35,79,0,1,2
1.8,23,23,13,0,1,2
1.8,20,20,30,0,1,2
1.7,49,49,183,0,1,2
1.7,42,42,99,0,1,2
1.9,26,26,38,0,1,2
2.0,16,17,23,0,1,2
2.3,42,42,173,0,1,2
2.0,32,40,104,0,1,2
2.2,35,35,25,0,1,2
2.0,22,22,42,0,1,2
4.5,14,15,209,1,-1,4
4.2,41,41,206,1,1,1
4.5,46,46,195,1,1,1
4.4,18,18,23,1,1,1
4.3,20,20,175,1,1,1
4.2,38,38,208,1,1,1
4.5,44,44,150,1,1,1
4.3,18,18,17,1,1,1
4.7,21,21,146,1,1,1
4.5,32,32,217,1,1,1
4.6,47,47,170,1,1,1
4.3,20,20,14,1,1,1
4.5,19,19,77,1,1,1
4.4,27,27,216,1,1,1
4.0,46,46,157,1,1,1
4.2,20,20,35,1,1,1
4.2,20,20,72,1,1,1
4.8,27,27,127,1,1,1
3.3,32,33,118,0,-1,3
