typing_speed,max_text,touch_count,shake_count,arousal,valence,state
1,2,2,2,0,-1,3
3,2,2,11,1,-1,4
2,2,2,25,1,1,1
2,2,2,5,1,1,1
1,1,1,1,0,-1,3
2,2,2,10,1,-1,4
2,2,2,2,1,1,1
2,2,2,1,1,1,1
2,2,2,3,1,1,1
1,2,2,2,0,-1,3
3,2,2,6,1,-1,4
2,2,2,5,1,1,1
2,3,3,10,1,1,1
2,2,2,6,1,1,1
3,1,1,2,1,1,1
1,3,3,11,0,-1,3
3,2,2,2,1,-1,4
1,1,1,1,0,-1,3
2,2,2,2,1,-1,4
2,2,2,1,1,1,1
2,1,1,2,1,1,1
1,2,2,7,0,-1,3
2,2,2,1,1,-1,4
2,2,2,0,1,1,1
2,2,2,2,1,1,1
1,2,2,7,0,-1,3
2,0,0,3,1,-1,4
2,0,0,5,1,1,1
0,0,0,40,0,-1,3
0,2,2,19,0,1,2
1,1,1,1,0,1,2
1,1,1,22,0,1,2
1,1,1,2,0,1,2
3,1,1,3,1,-1,4
0,1,1,6,0,-1,3
2,1,1,5,1,-1,4
2,1,1,1,1,1,1
2,1,1,4,1,1,1
1,1,1,5,0,-1,3
1,2,2,4,0,1,2
3,1,1,0,1,-1,4
2,2,2,26,1,1,1
0,3,3,21,0,-1,3
-1,2,2,15,0,1,2
2,4,4,2,1,-1,4
3,3,3,16,1,1,1
3,4,4,9,1,1,1
2,3,3,8,1,1,1
3,3,3,9,1,1,1
1,3,3,7,0,-1,3
3,3,3,11,1,-1,4
2,2,2,4,1,1,1
2,3,3,17,1,1,1
2,1,1,9,1,1,1
2,0,2,7,1,1,1
1,2,2,10,0,-1,3
3,2,2,8,1,-1,4
2,3,3,6,1,1,1
1,2,2,5,0,-1,3
3,3,3,11,1,-1,4
2,2,2,2,1,1,1
1,2,2,10,0,-1,3
3,2,2,5,1,-1,4
1,2,2,10,0,-1,3
2,3,3,12,1,-1,4
2,2,2,2,1,1,1
1,1,1,5,0,-1,3
2,2,2,4,1,-1,4
2,3,3,2,1,1,1
2,1,1,10,1,1,1
2,2,2,8,1,1,1
1,2,2,4,0,-1,3
3,2,2,7,1,-1,4
2,2,2,8,1,1,1
1,2,2,13,0,-1,3
3,1,1,14,1,-1,4
2,3,3,1,1,1,1
1,1,1,5,0,-1,3
2,2,2,7,1,-1,4
2,1,1,10,1,1,1
4,0,0,18,1,1,1
1,3,3,3,0,-1,3
0,4,4,0,0,1,2
1,4,4,35,0,1,2
3,1,1,16,1,-1,4
3,4,4,19,1,1,1
3,1,1,26,1,1,1
3,4,4,18,1,1,1
3,3,3,8,1,1,1
3,4,4,11,1,1,1
2,2,2,11,1,1,1
3,2,3,12,1,1,1
3,2,2,14,1,1,1
3,2,2,19,1,1,1
2,3,3,7,1,1,1
3,2,2,10,1,1,1
2,1,1,10,1,1,1
2,1,1,15,1,1,1
3,1,1,10,1,1,1
2,4,4,6,1,1,1
3,2,2,9,1,1,1
3,4,4,9,1,1,1
3,2,2,8,1,1,1
2,3,3,22,1,1,1
3,2,2,4,1,1,1
3,3,3,11,1,1,1
1,3,3,12,0,-1,3
3,3,3,6,1,-1,4
2,2,2,15,1,1,1
3,3,3,21,1,1,1
3,2,2,7,1,1,1
2,2,2,6,1,1,1
2,3,3,10,1,1,1
1,2,2,14,0,-1,3
3,3,3,9,1,-1,4
3,3,3,16,1,1,1
2,3,3,13,1,1,1
3,3,3,13,1,1,1
2,2,2,18,1,1,1
3,3,3,16,1,1,1
3,4,4,11,1,1,1
2,3,3,7,1,1,1
2,3,3,8,1,1,1
3,3,3,5,1,1,1
2,3,3,0,1,1,1
3,2,2,16,1,1,1
3,4,4,9,1,1,1
2,3,3,8,1,1,1
2,3,3,1,1,1,1
2,3,3,3,1,1,1
2,3,3,7,1,1,1
3,3,3,4,1,1,1
2,4,4,5,1,1,1
2,3,3,1,1,1,1
3,3,3,0,1,1,1
1,2,2,2,0,-1,3
2,3,3,1,1,-1,4
2,1,1,4,1,1,1
2,3,3,9,1,1,1
2,3,3,1,1,1,1
2,2,2,9,1,1,1
2,3,3,3,1,1,1
2,2,2,0,1,1,1
3,2,2,5,1,1,1
0,3,3,7,0,-1,3
2,2,2,0,1,-1,4
2,2,2,8,1,1,1
2,2,2,6,1,1,1
2,2,2,0,1,1,1
3,3,3,0,1,1,1
1,1,1,0,0,-1,3
2,3,3,0,1,-1,4
2,2,2,0,1,1,1
2,1,1,2,1,1,1
1,2,2,2,0,-1,3
2,2,2,0,1,-1,4
3,2,2,0,1,1,1
2,3,3,2,1,1,1
2,2,2,0,1,1,1
2,1,1,0,1,1,1
2,3,3,18,1,1,1
3,4,4,18,1,1,1
2,4,4,12,1,1,1
2,4,4,9,1,1,1
2,3,3,12,1,1,1
2,3,3,10,1,1,1
3,4,4,0,1,1,1
2,4,4,27,1,1,1
3,3,3,2,1,1,1
2,3,3,3,1,1,1
2,4,4,2,1,1,1
3,3,3,0,1,1,1
2,4,4,4,1,1,1
3,4,4,4,1,1,1
2,3,3,10,1,1,1
3,4,4,2,1,1,1
2,4,4,1,1,1,1
2,2,2,4,1,1,1
3,3,3,2,1,1,1
2,2,2,2,1,1,1
2,2,2,4,1,1,1
2,2,2,5,1,1,1
2,3,3,5,1,1,1
2,2,2,5,1,1,1
2,2,2,1,1,1,1
2,3,3,7,1,1,1
3,2,2,2,1,1,1
3,2,2,7,1,1,1
2,3,3,1,1,1,1
2,2,2,2,1,1,1
2,3,3,1,1,1,1
2,2,2,0,1,1,1
2,3,3,2,1,1,1
2,2,2,0,1,1,1
2,2,2,4,1,1,1
2,3,3,4,1,1,1
3,2,2,2,1,1,1
1,2,2,4,0,-1,3
2,2,2,2,1,-1,4
2,2,2,5,1,1,1
3,1,1,40,1,1,1
3,1,1,6,1,1,1
4,1,1,17,1,1,1
2,1,1,19,1,1,1
3,1,1,10,1,1,1
3,1,1,25,1,1,1
4,1,1,24,1,1,1
2,2,2,27,1,1,1
3,2,2,13,1,1,1
4,2,2,14,1,1,1
3,2,2,18,1,1,1
2,3,3,18,1,1,1
3,3,3,8,1,1,1
2,3,3,15,1,1,1
2,3,3,18,1,1,1
3,4,4,24,1,1,1
2,4,4,24,1,1,1
4,1,1,13,1,1,1
1,3,3,12,0,-1,3
4,4,4,12,1,-1,4
2,3,3,9,1,1,1
4,2,2,24,1,1,1
2,2,2,27,1,1,1
3,3,3,20,1,1,1
2,1,1,21,1,1,1
5,5,5,18,1,1,1
2,1,1,24,1,1,1
3,4,4,12,1,1,1
2,2,2,24,1,1,1
0,2,2,16,0,-1,3
3,4,4,27,1,-1,4
3,3,3,8,1,1,1
4,3,3,17,1,1,1
2,2,2,23,1,1,1
1,3,3,10,0,-1,3
3,3,3,11,1,-1,4
3,3,3,10,1,1,1
3,3,3,13,1,1,1
2,2,2,16,1,1,1
1,1,2,10,0,-1,3
4,2,2,12,1,-1,4
3,2,2,0,1,1,1
4,1,1,36,1,1,1
5,2,2,30,1,1,1
3,3,3,30,1,1,1
4,1,1,31,1,1,1
3,2,2,15,1,1,1
4,3,3,27,1,1,1
5,1,1,18,1,1,1
1,2,2,21,0,-1,3
3,2,2,16,1,-1,4
3,2,2,23,1,1,1
3,3,3,19,1,1,1
4,3,3,26,1,1,1
3,5,5,25,1,1,1
3,4,4,28,1,1,1
5,3,3,23,1,1,1
1,5,5,12,0,-1,3
5,2,2,18,1,-1,4
1,5,5,34,0,-1,3
3,4,4,16,1,-1,4
4,2,2,18,1,1,1
3,2,2,11,1,1,1
3,4,4,20,1,1,1
5,2,2,25,1,1,1
4,4,4,23,1,1,1
3,4,4,27,1,1,1
3,4,4,24,1,1,1
3,3,3,23,1,1,1
3,3,3,12,1,1,1
3,3,3,10,1,1,1
3,3,3,17,1,1,1
3,1,1,18,1,1,1
4,4,4,17,1,1,1
3,4,4,21,1,1,1
4,3,3,18,1,1,1
4,4,4,19,1,1,1
2,3,3,20,1,1,1
4,5,5,23,1,1,1
2,3,3,20,1,1,1
3,2,2,32,1,1,1
4,3,3,24,1,1,1
4,3,3,6,1,1,1
4,2,2,0,1,1,1
3,3,3,40,1,1,1
3,2,2,12,1,1,1
3,3,3,25,1,1,1
3,2,2,28,1,1,1
3,2,2,34,1,1,1
4,2,2,14,1,1,1
2,2,2,19,1,1,1
2,2,2,21,1,1,1
3,1,1,11,1,1,1
2,1,1,19,1,1,1
4,3,3,29,1,1,1
3,3,3,16,1,1,1
3,3,3,21,1,1,1
3,4,4,22,1,1,1
3,4,4,23,1,1,1
3,3,3,22,1,1,1
4,3,3,19,1,1,1
2,3,3,11,1,1,1
4,4,4,25,1,1,1
3,3,3,20,1,1,1
3,2,2,21,1,1,1
3,1,1,9,1,1,1
3,3,3,22,1,1,1
3,3,3,13,1,1,1
3,3,3,19,1,1,1
3,4,4,20,1,1,1
3,2,2,16,1,1,1
3,3,3,5,1,1,1
4,4,4,9,1,1,1
3,2,2,10,1,1,1
2,4,4,20,1,1,1
1,2,2,14,0,-1,3
3,4,4,17,1,-1,4
3,3,3,13,1,1,1
3,4,4,12,1,1,1
2,3,3,7,1,1,1
4,2,2,0,1,1,1
1,2,2,4,0,-1,3
4,2,2,0,1,-1,4
4,2,2,6,1,1,1
4,2,2,19,1,1,1
4,2,2,0,1,1,1
4,2,2,21,1,1,1
3,2,2,10,1,1,1
3,2,2,12,1,1,1
5,2,2,13,1,1,1
1,1,1,22,0,-1,3
2,3,3,9,1,-1,4
3,2,2,11,1,1,1
4,2,2,16,1,1,1
3,2,2,11,1,1,1
5,2,2,10,1,1,1
3,3,3,16,1,1,1
3,1,1,17,1,1,1
4,4,4,28,1,1,1
3,3,3,23,1,1,1
2,5,5,11,1,1,1
4,3,3,19,1,1,1
4,4,4,19,1,1,1
3,4,4,12,1,1,1
3,2,2,19,1,1,1
4,5,5,14,1,1,1
5,3,3,5,1,1,1
4,0,1,17,1,1,1
2,5,5,13,1,1,1
4,4,4,15,1,1,1
3,3,3,22,1,1,1
3,4,4,22,1,1,1
4,3,3,16,1,1,1
